IDATE,LAT,LON,ELEVATION_m,ACRES,PPT_mm,TMIN_c,TMEAN_c,TMAX_c,TDMEAN_c,VPDMIN_hpa,VPDMAX_hpa,lfmc_mean,lfmc_stdv,Mean_Sea_Level_Pressure,Mean_Station_Pressure,Mean_Wind_Speed,Maximum_Sustained_Wind_Speed,NAMELSAD,population
2012-04-22 00:00:00,34.2678,-118.1394,1342,0.1,0,15,21.6,28.2,2.9,9.16,34.47,124.2475,21.301912,1012.6,986,4.9,12.2,Los Angeles County,7416397
2012-04-22 00:00:00,35.1474,-118.1989,1568,2.7,0,14.6,21.2,27.7,2,10.79,29.42,67.6275,28.557678,1011.1,969.4,5.2,13.2,Kern County,585550
2012-04-22 00:00:00,37.4772,-119.6381,1518,1,0,7.5,16.7,26,6.7,3.1,23.54,132.4775,27.090454,1012,942.3,4.2,10.9,Mariposa County,15009
2012-04-22 00:00:00,39.9461,-121.3064,970,0.25,0,11.9,19.9,28,7.8,3.97,27.39,78.6525,10.341687,1011.5,915.5,3.9,10.7,Plumas County,16406
2012-04-23 00:00:00,33.415,-114.6614,74,2.5,0,20.9,30.4,39.9,6.8,10.9,59.51,127.33,28.209017,1007.8,947.9,7.8,19.3,Imperial County,123430
2012-04-23 00:00:00,33.7419,-116.7033,1797,0.1,0,6.9,16.5,26.2,0.5,3.96,28.53,270.0075,23.602917,1010.9,974,7.2,15,Riverside County,1569533
2012-04-23 00:00:00,37.6053,-119.0756,2425,0.1,0,4,12.9,21.9,-2.2,3.27,21.85,143.9625,28.805666,1010.2,926.2,7.3,17.9,Madera County,108016
2012-04-23 00:00:00,40.8856,-123.5933,338,0.1,0,11.4,22.2,32.9,10.1,0.6,36.96,115.3,22.010452,1012.5,926.7,6.4,14.2,Trinity County,11266
2012-04-23 00:00:00,41.7972,-120.5139,1460,0.1,0,5.2,15.9,26.6,2.1,1.71,28.68,136.24,20.412237,1007.1,855.9,8.1,23.5,Modoc County,7562
2012-04-24 00:00:00,34.2192,-118.145,770,0.1,0,9.1,12.7,16.2,9,0.14,4.27,245.845,31.39074,1015.5,989.7,5.4,13.4,Los Angeles County,7416397
